name,slug,id,callSign,tmsid,time_shift
Outlaw,outlaw,68fa84637ac952737656ae5f-66213052abd90e037ccd1fe4,OUTLW,157277,
TODAY All Day,today-all-day,68fa84637ac952737656ae5f-5fc70600598c41002da3dd39,PK20,114138,
So... Real,so-real,68fa84637ac952737656ae5f-5f0ff262d71dcb00449ec012,REALSTR,114871,
RetroCrush,retrocrush,68fa84637ac952737656ae5f-5ef4e1b40d9ad000423c442a,RRCRUSH,119355,
REVOLT Mixtape,revolt-mixtape-2,68fa84637ac952737656ae5f-634aa92e543c280baa13d91d,RVLTMXT,129774,
Screambox TV,screambox-tv,68fa84637ac952737656ae5f-641db53c2f7a0fca29488c99,SBOXTV,116607,
Scares by Shudder,scares-by-shudder-3,68fa84637ac952737656ae5f-650b38f490baad1963ad96f9,SBSHUDD,145846,
Scripps News,newsy,68fa84637ac952737656ae5f-5fc705dda2236e002d69f211,SCNEWST,120010,
Stingray Greatest Holiday Hits,stingray-greatest-holiday-hits,68fa84637ac952737656ae5f-61aa97d4113e1e5137fd5325,SM047D,113306,
Stingray Karaoke,stingray-karaoke-5,68fa84637ac952737656ae5f-5fc705daa2236e002d69f108,SMUS67,110657,
Qello Concerts,qello-concerts,68fa84637ac952737656ae5f-5fe27da28c198b002d179199,SMUS68,113296,
SportsGrid,sportsgrid,68fa84637ac952737656ae5f-5ef11485d33ab9004048a1ca,SPOGRID,112732,
The Bob Ross Channel,the-bob-ross-channel,68fa84637ac952737656ae5f-5efe1de6e0b3f5003f5d9f88,TBRCSTR,114491,
Tastemade,tastemade,68fa84637ac952737656ae5f-5ef51c802ddee5003f1c0225,TMFRE16,107076,
The Walking Dead Universe,the-walking-dead-universe-2,68fa84637ac952737656ae5f-5fc705ff2f220e002d5e6bce,TWDU,115540,
Vevo 2K,vevo-2k,68fa84637ac952737656ae5f-615593004054ee0a9771147a,VV2K,121125,
Vevo '70s,vevo-70s-2,68fa84637ac952737656ae5f-61559303fa828e7f1a0ccfbd,VV70,121122,
Vevo '80s,vevo-80s,68fa84637ac952737656ae5f-615700a23a4a316ad53ad716,VV80,121123,
Vevo '90s,vevo-90s,68fa84637ac952737656ae5f-61559301bcb11028da48b065,VV90,121124,
Vevo Country,vevo-country,68fa84637ac952737656ae5f-632997b7b73f82d6e2ad3b68,VVC,120902,
Vevo Hip-Hop,vevo-hip-hop,68fa84637ac952737656ae5f-632997b7f79ba3e1368f8b97,VVHH,120900,
Vevo Pop,vevo-pop,68fa84637ac952737656ae5f-616743c63727d6d85751802a,VVP,115694,
All Reality We TV,all-reality-we-tv,68fa84637ac952737656ae5f-5fc705ff2f220e002d5e6bec,WEREAL,115679,
Paranormal Files,paranormal-files,68fa84637ac952737656ae5f-65e87f35335524a69e8e0ce0,XPLPF,147639,
Yu-Gi-Oh!,yu-gi-oh-6,68fa84637ac952737656ae5f-6617f52f0049fcb8e2b0d5b8,YUGIOH,155772,
Euronews,euronews,68fa84637ac952737656ae5f-60089d90f682a3002c348299,,19039,
KMGH,kmgh,68fa84637ac952737656ae5f-6578a9dcfb1a19389c93fc7b,,33903,
Smooth Jazz,smooth-jazz,68fa84637ac952737656ae5f-62ee784852f7d73061eec493,,45219,
Soul Storm,soul-storm,68fa84637ac952737656ae5f-61aaa17a784a2161d3caf801,,67563,
Hip-Hop/R&B,hip-hop-randb,68fa84637ac952737656ae5f-62ee7ae2271f393d2d9f709e,,67564,
Easy Listening,easy-listening,68fa84637ac952737656ae5f-62ee76b5271f393d2d9f709a,,67573,
Nothin' But 90s,nothin-but-90s,68fa84637ac952737656ae5f-62f13eeded056a1db9ef3d54,,68620,
The Spa,the-spa,68fa84637ac952737656ae5f-62f11395586633e88e3a3274,,68632,
Éxitos del Momento,exitos-del-momento,68fa84637ac952737656ae5f-62efba6588a16bb7d6b6fb58,,68639,
Y2K,y2k,68fa84637ac952737656ae5f-62ee72cc271f393d2d9f7098,,68686,
TRACE Urban,trace-urban,68fa84637ac952737656ae5f-6322658be67cf9cd9011fcda,,71760,
Clic,clic,68fa84637ac952737656ae5f-6469502df73356567a64ce8e,,92197,
Euro Hits,euro-hits,68fa84637ac952737656ae5f-62ee74af52f7d73061eec491,,95855,
Corazón,corazon,68fa84637ac952737656ae5f-64694d52f73356567a64ce8c,,100594,
Azteca Internacional,azteca-internacional,68fa84637ac952737656ae5f-646d06c9b09f13b2d8af68d8,,100599,
Estrella TV,estrella-tv,68fa84637ac952737656ae5f-60089d98f682a3002c34829f,,102236,
CBS News,cbs-news,68fa84637ac952737656ae5f-6571f43a1d2aae780d597196,,104846,
CBS Sports HQ,cbs-sports-hq-2,68fa84637ac952737656ae5f-657107dc56226238740fcc2d,,108919,
Law & Crime,law-and-crime,68fa84637ac952737656ae5f-5eea605674085f0040ddc79d,,109553,
Entertainment Tonight,entertainment-tonight,68fa84637ac952737656ae5f-6578bb741a12778a8550d158,,110291,
Shout! TV,shout-tv,68fa84637ac952737656ae5f-60d4edd6b2fdec002c141127,,111132,
PursuitUP,pursuitup,68fa84637ac952737656ae5f-63628eb88e4b18ca22f897dc,,112487,
Electric Now,electric-now,68fa84637ac952737656ae5f-5f170d61b898490041b49360,,112797,
Alien Nation by DUST,alien-nation-by-dust-2,68fa84637ac952737656ae5f-63d6f799a9e88ee909e7ee21,,112881,
Hit List,hit-list,68fa84637ac952737656ae5f-61aaa014784a2161d3caf7fd,,113299,
Hot Country,hot-country,68fa84637ac952737656ae5f-61aa9e73784a2161d3caf7f9,,113300,
Alternative,alternative,68fa84637ac952737656ae5f-62efbb8652f7d73061eec498,,113301,
Pop Adult,pop-adult,68fa84637ac952737656ae5f-62ee7992271f393d2d9f709c,,113302,
Classic Rock,classic-rock,68fa84637ac952737656ae5f-61aaa0cc784a2161d3caf7ff,,113303,
Remember the ‘80s,remember-the-80s,68fa84637ac952737656ae5f-61aa9f50784a2161d3caf7fb,,113304,
Flashback 70s,flashback-70s,68fa84637ac952737656ae5f-62f15810a3ffe928ef806c75,,113308,
Unity in Black by kweliTV,unity-in-black-by-kwelitv,68fa84637ac952737656ae5f-666357257ce166787145c6ab,,113388,
TRACE Latina,trace-latina,68fa84637ac952737656ae5f-63226c03e67cf9cd9011fcdf,,113402,
BUZZR,buzzr,68fa84637ac952737656ae5f-66a2d71b0b91165254efdb40,,113452,
Yahoo Finance,yahoo-finance,68fa84637ac952737656ae5f-5f170f01b898490041b49dd1,,113674,
Crime 360,crime-360,68fa84637ac952737656ae5f-5f74cf7effbe690040689f41,,113780,1
MST3K,mst3k,68fa84637ac952737656ae5f-60d4eddbb2fdec002c141133,,113781,
Stadium,stadium,68fa84637ac952737656ae5f-5f6142d2fc6ce20041ec3c92,,113991,
Outside,outside,68fa84637ac952737656ae5f-629e522ed1bc5f1b16c6b98d,,114313,
Movie Music by Stingray,movie-music-by-stingray,68fa84637ac952737656ae5f-62fbf197c67d52bddf74cc87,,114642,
Stingray DJAZZ,stingray-djazz,68fa84637ac952737656ae5f-62fc0150c67d52bddf74cc89,,114647,
Johnny Carson TV,johnny-carson-tv,68fa84637ac952737656ae5f-60d4edd6b2fdec002c141123,,115370,
So Yummy,soyummy,68fa84637ac952737656ae5f-6041643175c115002dc5125d,,115674,
Today's K-Pop,todays-k-pop,68fa84637ac952737656ae5f-62ee6eae271f393d2d9f7096,,115709,
MOVIESPHERE,moviesphere,68fa84637ac952737656ae5f-5fb84bc1b7ad2d002dcb735f,,115944,
Xtreme Outdoor by HISTORY,xtreme-outdoor-by-history,68fa84637ac952737656ae5f-5f74cf7effbe690040689f3e,,116101,
Game Show Central,game-show-central,68fa84637ac952737656ae5f-5eea605574085f0040ddc782,,116474,-5
News 12 New York,news-12-new-york,68fa84637ac952737656ae5f-5fc6f3a62b6f7b002e77ffaa,,116946,
