name,id,chno,tmsid,time_shift,notes
Nautical,66b0eb225a04e9229133b999,366,,,104635
The Boat Show,673b785252254eb082e18520,367,157506
Greatest Sports Legends & Laughs,6717da0636dc92fb49346e64,368,
OZ TV,6675bb1ce1827c8af5d7a67b,369,152975
Team Liquid,6675ba64d6d7787f5ce97012,371,152978
Escape TV,672a67138e0fe64b11195701,372,
Chive TV,671993d69b42884100de0f89,373,,,123989
Documentary+,670800411a95445e2203071e,375,,,129672
Action Plus,66f5a9a408f2c39175aab916,376,142414
Earth Trek,66f5ae1038b40a47023bba46,377,159516
Popular Science,6675bde91de4405de4d48712,378,152977
